City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,3.44,clear sky
70,Ouesso,CG,1.6136,16.0517,67.89,98,75,3.22,broken clouds
71,Redmond,US,47.674,-122.1215,52.36,70,100,10.0,overcast clouds
72,Carballo,ES,43.213,-8.691,44.87,84,64,3.78,broken clouds
73,Barra Patuca,HN,15.8,-84.2833,79.56,78,6,15.48,clear sky
74,Ushuaia,AR,-54.8,-68.3,38.86,81,20,5.75,few clouds
75,Ribeira Grande,PT,38.5167,-28.7,56.39,76,12,17.34,few clouds
76,Camocim,BR,-2.9022,-40.8411,75.83,91,97,7.52,overcast clouds
77,Saint-Philippe,RE,-21.3585,55.7679,74.79,96,100,20.11,heavy intensity rain
78,Talaya,RU,61.3833,152.75,7.88,79,100,8.12,overcast clouds
79,Saskylakh,RU,71.9167,114.0833,6.71,94,99,8.25,overcast clouds
80,Inhambane,MZ,-23.865,35.3833,75.34,78,22,6.4,few clouds
81,Dunkwa,GH,5.9656,-1.78,71.4,96,100,1.1,overcast clouds
82,Katherine,AU,-14.4667,132.2667,93.52,29,8,10.36,clear sky
83,Arraial Do Cabo,BR,-22.9661,-42.0278,75.13,90,100,18.66,overcast clouds
84,Hanna,CA,51.6334,-111.9018,36.86,56,100,3.0,overcast clouds
85,Longyearbyen,SJ,78.2186,15.6401,-4.16,65,20,9.22,few clouds
86,Novo Aripuana,BR,-5.1206,-60.3797,73.85,98,100,1.61,overcast clouds
87,Vao,NC,-22.6667,167.4833,79.63,87,100,15.01,overcast clouds
88,Chokurdakh,RU,70.6333,147.9167,-2.13,84,49,3.18,scattered clouds
89,Leczyca,PL,52.0596,19.1997,32.14,95,100,14.92,light snow
90,Hamilton,US,39.1834,-84.5333,39.02,71,100,0.0,overcast clouds
91,Ponta Delgada,PT,37.7333,-25.6667,56.12,100,75,9.22,broken clouds
92,Key Biscayne,US,25.6937,-80.1628,80.02,88,40,4.61,scattered clouds
93,Dubrovka,RU,53.6907,33.5071,31.46,94,100,13.98,overcast clouds
94,Nikolskoye,RU,59.7035,30.7861,28.29,97,47,2.84,scattered clouds
95,Road Town,VG,18.4167,-64.6167,78.84,73,20,11.5,few clouds
96,Jiaonan,CN,35.8786,119.9753,50.34,41,97,6.91,overcast clouds
97,Kaeo,NZ,-35.1,173.7833,73.85,59,99,5.23,overcast clouds
98,Bethel,US,41.3712,-73.414,43.48,64,75,9.22,broken clouds
99,Kodlipet,IN,12.8,75.8833,71.62,82,18,1.61,few clouds
100,Seoul,KR,37.5683,126.9778,54.79,37,0,5.75,clear sky
101,Lavrentiya,RU,65.5833,-171.0,14.95,65,29,14.9,scattered clouds
102,Airai,TL,-8.9266,125.4092,73.92,45,7,1.74,clear sky
103,Namtsy,RU,62.7161,129.6658,24.03,92,100,8.86,light snow
104,Alyangula,AU,-13.8483,136.4192,87.67,62,40,6.91,scattered clouds
105,Tasiilaq,GL,65.6145,-37.6368,33.96,90,100,9.82,overcast clouds
106,Bambous Virieux,MU,-20.3428,57.7575,76.21,100,75,29.93,moderate rain
107,Coahuayana,MX,18.7333,-103.6833,68.14,87,99,1.59,overcast clouds
108,Cherskiy,RU,68.75,161.3,-8.05,82,100,2.01,overcast clouds
109,Havelock,US,34.8791,-76.9013,64.35,54,0,9.22,clear sky
110,Bluff,NZ,-46.6,168.3333,59.07,73,86,16.96,overcast clouds
111,Ahipara,NZ,-35.1667,173.1667,73.54,62,100,1.5,overcast clouds
112,Inuvik,CA,68.3499,-133.7218,-5.04,54,0,6.91,clear sky
113,Ransang,PH,8.9603,117.5828,86.36,65,54,2.68,broken clouds
114,Conakry,GN,9.538,-13.6773,76.69,86,31,8.16,scattered clouds
115,Roebourne,AU,-20.7833,117.1333,86.25,62,58,3.78,broken clouds
116,Cabo San Lucas,MX,22.8909,-109.9124,78.1,68,0,11.5,clear sky
117,Kahului,US,20.8947,-156.47,80.62,69,40,20.71,scattered clouds
118,Springdale,US,36.1867,-94.1288,59.11,40,0,6.91,clear sky
119,Carnarvon,AU,-24.8667,113.6333,82.47,74,40,14.97,scattered clouds
120,Hilo,US,19.7297,-155.09,76.73,84,100,13.8,heavy intensity rain
121,Maniitsoq,GL,65.4167,-52.9,27.97,73,55,6.93,broken clouds
122,Ambulu,ID,-8.345,113.6058,83.68,70,48,1.41,scattered clouds
123,Gijon,ES,43.5357,-5.6615,42.84,92,92,1.99,overcast clouds
124,Acajutla,SV,13.5928,-89.8275,81.03,73,2,4.63,clear sky
125,Qaanaaq,GL,77.484,-69.3632,14.41,94,100,1.83,overcast clouds
126,Mastic Beach,US,40.7668,-72.8521,44.98,56,20,15.99,few clouds
127,Katsuura,JP,35.1333,140.3,49.26,56,100,10.16,overcast clouds
128,Tavares,US,28.8042,-81.7256,75.2,82,75,4.61,broken clouds
129,Jamestown,US,42.097,-79.2353,32.02,65,100,13.8,overcast clouds
130,Holme,DK,56.1138,10.1725,28.18,80,59,8.16,broken clouds
131,Koutsouras,GR,35.0339,25.9469,58.1,74,0,4.92,clear sky
132,Caravelas,BR,-17.7125,-39.2481,76.21,84,0,4.83,clear sky
133,Sharan,RU,54.8167,54.0,38.43,100,100,6.69,overcast clouds
134,Maceio,BR,-9.6658,-35.7353,76.44,88,40,4.61,scattered clouds
135,Axim,GH,4.8699,-2.2405,77.72,85,100,2.39,overcast clouds
136,Pampa,US,35.5362,-100.9599,52.75,81,0,10.36,clear sky
137,Caucaia,BR,-3.7361,-38.6531,71.55,94,75,12.66,broken clouds
138,Bambanglipuro,ID,-7.95,110.2833,78.76,76,100,2.19,overcast clouds
139,Ponta Do Sol,PT,32.6667,-17.1,63.01,82,100,0.22,overcast clouds
140,Minas Novas,BR,-17.2186,-42.5903,67.08,74,0,2.73,clear sky
141,Xining,CN,36.6167,101.7667,37.8,48,0,2.66,clear sky
142,Gravelbourg,CA,49.8834,-106.5512,32.27,53,26,9.01,scattered clouds
143,Kodiak,US,57.79,-152.4072,38.71,87,100,9.22,overcast clouds
144,Ban Nahin,LA,18.2418,104.2122,65.28,66,100,6.13,overcast clouds
145,Arak,IR,34.0917,49.6892,52.48,37,0,3.65,clear sky
146,Bengkulu,ID,-3.8004,102.2655,82.22,69,20,3.38,few clouds
147,Castro,BR,-24.7911,-50.0119,54.37,98,100,5.61,overcast clouds
148,Acarau,BR,-2.8856,-40.12,76.17,86,97,6.62,overcast clouds
149,San Juan,AR,-31.5375,-68.5364,63.14,28,0,6.17,clear sky
150,Guerrero Negro,MX,27.9769,-114.0611,60.85,70,0,13.24,clear sky
151,Sawtell,AU,-30.3833,153.1,80.19,60,75,8.05,broken clouds
152,Saint-Paul,RE,-21.0096,55.2707,75.31,85,100,4.23,moderate rain
153,Talnakh,RU,69.4865,88.3972,7.21,94,100,6.38,light snow
154,Kupang,ID,-10.1667,123.5833,83.46,64,8,2.51,clear sky
155,Araguaina,BR,-7.1911,-48.2072,73.83,92,97,2.71,overcast clouds
156,San Bartolome,ES,27.9248,-15.5733,54.32,66,75,12.66,broken clouds
157,Huarmey,PE,-10.0681,-78.1522,70.61,82,79,9.91,broken clouds
158,Manvi,IN,15.9833,77.05,83.7,39,8,5.82,clear sky
159,Iqaluit,CA,63.7506,-68.5145,24.53,100,100,3.44,overcast clouds
160,Sile,TR,41.1754,29.6133,63.27,41,0,17.56,clear sky
161,Aguas Vermelhas,BR,-15.7472,-41.46,64.17,92,0,3.0,light rain
162,Portland,US,45.5234,-122.6762,55.35,78,100,6.91,light rain
163,Aklavik,CA,68.2191,-135.0107,-3.46,88,98,6.85,overcast clouds
164,Kamiiso,JP,41.8167,140.65,48.58,37,40,16.11,scattered clouds
165,Korla,CN,41.7597,86.1469,52.43,32,0,2.89,clear sky
166,Avarua,CK,-21.2078,-159.775,84.25,70,75,3.44,broken clouds
167,Cap Malheureux,MU,-19.9842,57.6142,76.46,89,100,10.0,moderate rain
168,Kloulklubed,PW,7.0419,134.2556,84.7,78,86,10.98,overcast clouds
169,Lorengau,PG,-2.0226,147.2712,77.97,91,100,11.21,overcast clouds
170,Vila Velha,BR,-20.3297,-40.2925,76.95,93,40,3.44,scattered clouds
171,Rovigo,IT,45.08,11.793,48.04,73,76,8.86,broken clouds
172,Bandarbeyla,SO,9.4942,50.8122,77.07,83,0,6.17,clear sky
173,Tuxtla,MX,16.75,-93.1167,85.01,57,24,4.65,few clouds
174,Qaqortoq,GL,60.7167,-46.0333,32.05,82,99,6.24,overcast clouds
175,Ilulissat,GL,69.2167,-51.1,30.22,64,2,4.61,clear sky
176,Semnan,IR,35.5729,53.3971,56.53,28,4,2.77,clear sky
177,Nefteyugansk,RU,61.0998,72.6035,7.45,96,85,8.21,overcast clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,59.88,77,0,6.91,clear sky
179,Broken Hill,AU,-31.95,141.4333,67.71,30,0,11.5,clear sky
180,Nantucket,US,41.2835,-70.0995,46.51,74,100,19.57,overcast clouds
181,Clyde River,CA,70.4692,-68.5914,10.63,92,100,5.75,overcast clouds
182,Geraldton,AU,-28.7667,114.6,81.01,65,100,19.57,overcast clouds
183,Khani,GE,41.9563,42.9566,56.77,75,7,10.96,clear sky
184,Urazovka,RU,55.4013,45.6186,30.6,97,100,14.5,light snow
185,Aksu,CN,41.1231,80.2644,52.81,34,98,3.06,overcast clouds
186,Kotelnich,RU,58.3089,48.348,21.2,92,100,7.14,overcast clouds
187,Bila Tserkva,UA,49.8094,30.1121,48.54,96,100,7.74,overcast clouds
188,Srednekolymsk,RU,67.45,153.6833,-1.17,85,83,7.05,broken clouds
189,Yulara,AU,-25.2406,130.9889,75.04,27,100,11.5,overcast clouds
190,Thompson,CA,55.7435,-97.8558,17.76,86,100,11.5,overcast clouds
191,Codrington,AU,-38.2667,141.9667,66.38,55,100,13.44,overcast clouds
192,Acapulco,MX,16.8634,-99.8901,78.62,69,75,6.91,broken clouds
193,Anadyr,RU,64.75,177.4833,21.7,85,20,11.18,few clouds
194,Port-Gentil,GA,-0.7193,8.7815,74.77,94,100,4.25,heavy intensity rain
195,College,US,64.8569,-147.8028,23.07,33,75,19.57,broken clouds
196,Pontianak,ID,-0.0333,109.3333,85.98,74,20,4.61,few clouds
197,Neuquen,AR,-38.9516,-68.0591,53.49,82,0,0.0,clear sky
198,Kindu,CD,-2.95,25.95,69.71,99,100,1.61,light rain
199,Ust-Tsilma,RU,65.441,52.1498,-0.62,100,94,3.36,overcast clouds
200,Lodwar,KE,3.1191,35.5973,82.76,45,43,8.7,scattered clouds
201,Flinders,AU,-34.5833,150.8552,66.18,73,98,11.01,overcast clouds
202,Hobart,AU,-42.8794,147.3294,62.28,82,75,17.27,broken clouds
203,Chigorodo,CO,7.6664,-76.6811,76.8,94,75,0.0,broken clouds
204,Bielsk Podlaski,PL,52.7651,23.1865,32.25,97,100,16.89,light snow
205,Kavieng,PG,-2.5744,150.7967,76.46,92,100,7.58,moderate rain
206,Ulcinj,ME,41.9294,19.2244,53.82,80,55,12.53,broken clouds
207,Port Blair,IN,11.6667,92.75,84.24,79,20,2.3,mist
208,Colares,PT,38.7992,-9.4469,51.76,53,48,24.0,scattered clouds
209,Manokwari,ID,-0.8667,134.0833,83.01,76,100,8.61,overcast clouds
210,Cayenne,GF,4.9333,-52.3333,77.09,1,75,2.3,broken clouds
211,Lata,PT,40.1629,-8.3327,43.92,62,0,4.81,clear sky
212,Vardo,NO,70.3705,31.1107,26.92,73,100,21.97,overcast clouds
213,Faya,SA,18.3851,42.4509,57.31,19,4,5.64,clear sky
214,Port Lincoln,AU,-34.7333,135.8667,64.65,59,56,16.26,broken clouds
215,Mazamari,PE,-11.3258,-74.5308,64.85,100,100,0.92,overcast clouds
216,Mopti,ML,14.6667,-4.0,86.36,7,100,8.93,overcast clouds
217,Lebu,CL,-37.6167,-73.65,55.65,93,3,13.85,clear sky
218,East London,ZA,-33.0153,27.9116,64.96,93,100,7.31,moderate rain
219,Punta,PH,8.9897,125.34,81.79,77,100,3.11,overcast clouds
220,Leningradskiy,RU,69.3833,178.4167,3.13,88,100,8.81,overcast clouds
221,Itupiranga,BR,-5.1347,-49.3267,73.38,98,100,4.18,overcast clouds
222,Northam,GB,51.0333,-4.2167,40.6,71,98,4.81,overcast clouds
223,Takoradi,GH,4.8845,-1.7554,76.89,85,100,5.14,overcast clouds
224,Venice,US,27.0998,-82.4543,77.11,96,100,0.0,mist
225,Upernavik,GL,72.7868,-56.1549,8.67,96,100,9.37,overcast clouds
226,Tiksi,RU,71.6872,128.8694,13.42,90,71,5.79,broken clouds
227,Huron,US,41.1501,-82.5499,36.16,76,12,5.59,few clouds
228,Zhoucheng,CN,35.9122,116.3117,54.0,51,0,4.72,clear sky
229,Manakara,MG,-22.1333,48.0167,68.04,92,3,4.25,clear sky
230,Camacha,PT,33.0833,-16.3333,56.62,82,40,6.91,scattered clouds
231,Caorle,IT,45.5966,12.8758,46.35,94,100,12.59,overcast clouds
232,Snasa,NO,64.2457,12.3778,27.81,97,100,8.12,light snow
233,Baruun-Urt,MN,46.6806,113.2792,42.22,24,99,15.12,overcast clouds
234,Ixtapa,MX,20.7,-105.2,71.22,78,40,5.75,scattered clouds
235,Te Anau,NZ,-45.4167,167.7167,69.06,43,1,0.89,clear sky
236,Bontang,ID,0.1333,117.5,83.25,73,86,2.04,overcast clouds
237,Labuhan,ID,-6.8844,112.2051,81.48,74,100,5.19,overcast clouds
238,Puerto Colombia,CO,10.9878,-74.9547,80.69,87,100,19.53,overcast clouds
239,Baykit,RU,61.67,96.37,14.86,93,100,1.3,overcast clouds
240,Krasnoselkup,RU,65.7,82.4667,11.5,95,100,8.08,overcast clouds
241,Sitka,US,57.0531,-135.33,42.69,61,100,10.36,overcast clouds
242,Husavik,IS,66.0449,-17.3389,34.61,85,100,8.61,overcast clouds
243,Poso,ID,-1.3959,120.7524,86.99,57,78,2.62,broken clouds
244,Dalen,NL,52.6992,6.7556,36.0,79,100,5.99,overcast clouds
245,Sabang,ID,5.8933,95.3214,83.89,71,100,11.25,overcast clouds
246,Zeya,RU,53.75,127.2667,34.36,61,98,3.24,overcast clouds
247,Yingcheng,CN,30.95,113.55,59.47,52,83,5.39,broken clouds
248,Lichinga,MZ,-13.3128,35.2406,62.69,100,20,8.05,few clouds
249,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,55.06,95,77,2.55,broken clouds
250,Sai Buri,TH,6.7013,101.6168,85.71,73,56,2.33,broken clouds
251,Londoko,RU,49.0333,131.9833,39.11,60,30,4.76,scattered clouds
252,Nanortalik,GL,60.1432,-45.2371,34.03,89,68,3.29,broken clouds
253,Santa Maria,BR,-29.6842,-53.8069,52.9,87,0,4.61,clear sky
254,Vilhena,BR,-12.7406,-60.1458,62.65,92,100,4.16,overcast clouds
255,Awbari,LY,26.5921,12.7805,70.61,17,100,7.2,overcast clouds
256,Esik,KZ,43.3552,77.4525,45.82,64,44,4.99,scattered clouds
257,Elizabeth City,US,36.2946,-76.2511,55.98,46,0,18.41,clear sky
258,Manaure,CO,11.7751,-72.4445,79.92,74,100,16.31,overcast clouds
259,Sarankhola,BD,22.3082,89.7897,84.29,64,92,9.95,overcast clouds
260,Syracuse,IT,37.0881,15.2792,53.19,65,4,17.92,clear sky
261,San Jose,US,37.3394,-121.895,66.99,62,20,14.97,few clouds
262,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,94,100,11.45,overcast clouds
263,Tomatlan,MX,19.9333,-105.25,65.17,86,100,2.71,overcast clouds
264,Cidreira,BR,-30.1811,-50.2056,63.16,69,11,4.59,few clouds
265,Whitehorse,CA,60.7161,-135.0538,29.1,82,100,5.75,light snow
266,Pangnirtung,CA,66.1451,-65.7125,22.98,83,100,4.12,overcast clouds
267,Shakawe,BW,-18.3667,21.85,71.67,63,100,4.23,overcast clouds
268,Port Pirie,AU,-33.1833,138.0167,66.29,36,100,6.78,overcast clouds
269,Urubamba,PE,-13.3047,-72.1158,58.1,92,100,4.05,overcast clouds
270,Rosarito,MX,32.3333,-117.0333,63.41,75,9,6.2,clear sky
271,Adur,IN,9.1667,76.7333,76.57,92,98,1.36,overcast clouds
272,Puerto Ayora,EC,-0.7393,-90.3518,77.56,96,20,5.48,few clouds
273,Derzhavinsk,KZ,51.1,66.3167,26.37,87,96,9.55,overcast clouds
274,Oytal,KZ,42.9057,73.2697,51.8,54,100,1.81,overcast clouds
275,Ballina,AU,-28.8667,153.5667,80.78,69,75,13.8,broken clouds
276,Rawson,AR,-43.3002,-65.1023,68.32,23,24,18.88,few clouds
277,Byron Bay,AU,-28.65,153.6167,79.72,73,33,7.23,scattered clouds
278,La Palma,US,33.8464,-118.0467,67.91,73,0,9.22,clear sky
279,Hambantota,LK,6.1241,81.1185,80.94,100,40,3.44,scattered clouds
280,Dingle,PH,10.9995,122.6711,86.58,55,76,15.97,broken clouds
281,Kingsland,US,30.8,-81.6898,66.9,89,22,2.21,few clouds
282,Lasa,IT,46.6166,10.7002,36.48,96,100,5.57,overcast clouds
283,Ancud,CL,-41.8697,-73.8203,53.22,93,52,6.58,broken clouds
284,Gusinoye Ozero,RU,51.1144,106.2614,46.71,41,9,2.71,clear sky
285,Duluth,US,46.7833,-92.1066,41.58,59,100,6.91,overcast clouds
286,Palora,EC,-1.7,-77.9333,65.03,97,99,2.71,light rain
287,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,18.41,scattered clouds
288,Oeiras Do Para,BR,-2.0031,-49.8544,74.34,97,96,2.24,overcast clouds
289,Viedma,AR,-40.8135,-62.9967,60.98,36,24,20.07,few clouds
290,Ituango,CO,7.1712,-75.764,62.89,99,100,0.58,overcast clouds
291,Skibbereen,IE,51.55,-9.2667,39.11,77,100,8.84,overcast clouds
292,Nishihara,JP,26.1842,127.7558,64.06,94,100,11.5,mist
293,Bilibino,RU,68.0546,166.4372,7.99,69,100,0.27,overcast clouds
294,Goias,BR,-15.5807,-49.6362,70.18,81,25,2.21,scattered clouds
295,Kouqian,CN,43.6391,126.4578,47.95,27,2,10.29,clear sky
296,Sfantu Gheorghe,RO,45.8667,25.7833,49.66,93,100,3.6,overcast clouds
297,Quatre Cocos,MU,-20.2078,57.7625,76.08,90,100,18.77,moderate rain
298,Merauke,ID,-8.4667,140.3333,83.1,70,100,7.83,overcast clouds
299,Hearst,CA,49.6835,-83.6665,25.05,97,59,4.74,broken clouds
300,Dubrovnik,HR,42.6481,18.0922,56.84,71,75,9.22,broken clouds
301,Tura,IN,25.5198,90.2201,78.73,71,44,2.93,scattered clouds
302,Avera,US,33.194,-82.5271,55.54,53,0,6.44,clear sky
303,Zlatoust,RU,55.1711,59.6508,28.2,98,100,3.44,snow
304,Zhigansk,RU,66.7697,123.3711,21.61,89,100,17.9,overcast clouds
305,Padang,ID,-0.9492,100.3543,78.85,57,91,2.64,overcast clouds
306,Chicama,PE,-7.8447,-79.1469,64.94,77,100,6.91,overcast clouds
